gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
3194,146,0,3900,42,112425,35,57,152017,22177,1406,11593,2751,1
3287,150,0,4238,42,124115,50,42,184220,24549,1385,360,2813,1
2885,136,0,3829,49,86070,42,54,158300,25450,783,3537,2174,1
2964,126,0,3438,41,92580,29,57,126701,19491,956,4285,2193,1
2751,134,0,3742,43,94525,44,52,108637,22107,820,0,2276,1
5958,150,0,9864,49,130320,23,44,144445,10700,443,0,1337,1
2211,110,0,2704,25,75315,47,55,120099,7106,788,3935,2145,0
2725,139,0,3555,52,106770,36,55,121796,20234,1030,2273,2670,1
4833,145,0,9171,34,98665,26,23,89241,8317,253,7676,1295,1
3100,145,0,4111,48,109220,57,45,176608,23565,1147,4240,2606,1
4225,150,0,5222,53,165930,62,26,186087,39182,1311,13104,2951,1
2772,140,0,3784,33,101045,52,50,235077,5949,1232,1025,2684,0
2746,117,0,3694,63,65595,33,27,139959,9672,630,3059,1711,1
1905,113,0,2957,22,59470,64,30,89060,3899,544,0,2092,0
2546,111,0,3119,26,71625,48,54,137177,8706,790,0,1909,0
2728,137,0,3381,24,107855,46,39,134806,11467,1321,3544,2818,0
2525,140,0,3931,42,86025,52,52,144528,21934,871,14674,2439,1
2498,128,0,3411,47,75195,41,63,123154,16697,661,3329,2248,1
4272,129,0,6975,19,73440,33,22,58298,5447,247,0,1063,0
2951,149,1,4147,67,144020,52,54,258953,21488,1737,400,3566,1
2417,122,0,3266,27,71525,55,62,103430,10528,773,0,2096,0
1928,101,0,2363,16,59140,37,67,70559,1108,661,2274,2018,0
2380,131,0,3214,26,82300,49,52,97469,4519,944,71,2484,0
1843,101,0,2583,14,52710,63,19,79140,3672,570,0,1942,0
6052,145,0,9577,38,109075,19,29,98366,14186,375,2452,1135,1
2261,119,0,2830,23,74110,43,69,120473,5433,826,8523,2324,0
6236,145,0,8824,36,108015,17,44,99524,16407,446,4229,1207,1
2642,141,0,3401,31,114940,58,59,242563,7084,1256,7047,2956,0
3684,139,0,6649,10,84790,43,20,90060,2194,423,365,1481,0
3024,96,0,6442,5,29195,32,14,27671,543,116,609,705,0
2442,110,1,2963,21,70775,51,57,107430,5152,640,165,2043,0
2731,135,0,3490,20,100780,38,46,175527,8358,1094,1628,2533,0
3244,150,1,3790,65,168210,76,72,244152,9747,1574,1748,4059,0
5823,115,0,7063,21,78920,9,24,62970,16308,312,0,859,1
2521,147,0,3354,27,96800,37,51,161150,13765,1320,26323,2962,1
