gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
2774,116,0,3550,66,75560,49,15,109939,14095,316,4907,1865,1
2718,104,0,3040,32,73475,28,64,73864,21510,759,932,1743,1
4578,139,1,7774,16,76790,28,26,57981,2941,360,1318,1192,0
2236,127,0,2938,26,82235,48,43,110737,3006,978,14798,2514,0
3149,150,0,4026,54,144910,52,89,211061,22674,1766,3203,3323,1
2096,103,0,2578,21,59085,51,68,78847,6904,758,1708,1937,0
3110,146,0,3754,44,136005,72,60,203900,16408,1774,355,3396,0
2719,145,0,3550,27,107885,38,56,155928,8449,1692,1341,2878,0
2897,149,0,4230,50,113860,44,54,183487,23891,1164,15940,2640,1
2777,117,1,3624,39,82560,50,35,136307,7317,752,3395,2096,0
2293,129,0,3188,28,85405,54,88,121926,7906,1065,2344,2556,0
2280,132,0,3140,26,87810,52,17,112331,8787,1071,0,2751,0
2524,106,0,2869,10,71825,55,36,92495,15050,832,2556,1959,0
2809,137,0,3455,37,109940,78,44,219617,17302,1039,2229,2992,1
2995,137,1,3895,55,98950,56,43,152450,19108,889,4045,2262,1
3210,150,0,3574,61,162245,63,61,245512,29482,1820,12854,3907,1
5503,143,0,6953,31,120730,19,31,77092,18697,391,2531,1388,1
5366,126,0,7842,20,78880,14,20,54049,10848,424,3714,925,1
2554,139,0,3534,39,96475,61,73,121517,15907,885,4657,2693,1
2512,128,0,3343,43,84910,57,41,158117,14987,889,1535,2354,0
2279,100,0,2640,22,60565,63,36,87714,2466,542,3034,1831,0
2562,135,1,3305,34,103535,40,67,138248,19190,1042,5368,2610,0
2420,137,1,3418,29,93750,48,79,115357,15481,1306,3200,2655,0
2849,134,0,3711,43,88240,41,42,134482,26082,789,11182,2266,1
2511,119,0,3293,34,76070,30,56,110954,25753,687,4452,1968,1
2921,143,0,3960,56,106900,50,41,186626,14840,1103,1266,2570,1
2447,104,1,2630,18,64360,33,115,77903,5829,625,8416,1923,0
3117,150,0,4160,63,164565,79,60,255235,15911,1792,23957,3772,0
2916,133,0,3952,50,90555,34,76,156486,21154,862,1125,2067,1
2862,145,0,3613,43,112825,40,81,154043,20496,1094,1166,2854,1
3063,150,0,3867,74,156080,58,83,367120,18791,1882,6607,3793,1
2071,96,0,2639,18,50565,49,59,47780,1921,566,2230,1708,0
2282,135,0,3613,28,80755,68,52,144467,3999,682,1293,2487,0
2504,140,0,3425,39,101645,61,46,155284,15043,994,4421,2825,0
3922,104,0,4418,46,68810,17,55,72661,18146,441,3136,1188,1
3035,146,0,4343,49,113450,41,58,147628,25388,966,5284,2354,1
2189,113,0,2852,27,67190,39,67,131403,4044,737,0,2050,0
2536,120,0,3243,42,80285,34,44,122593,19763,824,9087,2090,1
2564,127,1,3154,33,96560,49,34,104251,15629,1027,3221,2604,1
4409,145,0,7975,21,105610,41,27,118037,5890,410,1644,1620,0
2615,142,0,3588,56,99825,60,47,176785,15484,832,125,2819,0
3467,150,0,4135,64,180515,89,69,377951,20596,1846,3600,4314,1
2156,112,0,2965,20,65320,46,27,76504,3529,672,1177,2080,0
2551,104,0,3017,44,66275,27,46,95997,14983,517,0,1730,1
3626,135,0,4688,32,104955,60,22,93546,11231,762,714,1998,0
2920,134,0,3577,42,92805,36,56,140950,24671,919,17693,2410,1
2814,150,0,3865,45,133055,59,44,216768,23656,1434,4848,3256,1
2877,113,0,3298,45,69615,29,60,89483,22483,756,205,1799,1
2547,110,0,3023,44,69305,23,58,122536,21751,572,6814,1850,1
1816,111,1,2604,16,59365,59,34,82287,2871,613,0,2234,0
3131,150,0,3953,57,145205,49,55,196863,15984,1560,19921,3348,1
4174,150,0,5504,55,149240,60,62,185507,15743,904,1530,2407,0
2662,112,0,2714,16,95540,30,77,88505,19539,1112,1896,2287,0
