Index,Radiant_GPM,Dire_GPM,Radiant_XPM,Dire_XPM,Leaver_status,Result,Radiant_Win
363,2507,2695,3153,4092,0,Dire,1
364,2507,3099,3705,3138,1,Draw,0
365,5479,2506,7307,3414,0,Radiant,1
366,2756,3115,3233,3665,1,Dire,1
367,2469,5776,3471,8283,0,Dire,0
368,2578,2736,3787,3936,1,Dire,0
369,2848,4414,3974,6880,1,Dire,1
370,2933,6244,3182,9404,0,Dire,1
371,2788,5396,3518,10206,1,Dire,1
372,2753,2563,3742,3523,0,Radiant,1
373,2699,2828,3733,4057,0,Dire,1
374,2422,2553,3156,3338,0,Dire,0
375,6188,2705,8795,3307,0,Radiant,1
376,3923,2794,4373,3422,0,Radiant,1
377,6058,2445,8842,3475,0,Radiant,1
378,3019,3173,2012,3958,1,Dire,1
379,4752,2560,8702,3299,0,Radiant,0
380,5253,5629,8607,6554,0,Draw,1
381,2779,2825,3473,3461,0,Draw,1
382,2501,4531,3240,7233,0,Dire,1
383,3111,2525,4199,3447,0,Radiant,1
384,2737,4403,3824,6742,0,Dire,1
385,2302,2078,3545,3198,0,Radiant,0
386,4114,2718,7093,3530,1,Radiant,0
387,2857,5106,2998,6481,0,Dire,1
388,3490,3227,4289,4079,0,Radiant,1
389,2769,3838,3877,4625,0,Dire,0
390,2666,2586,3915,3462,0,Radiant,0
391,2164,1683,2686,1998,0,Radiant,0
392,2877,2558,3015,3542,0,Draw,1
393,2219,1876,2771,2441,0,Radiant,0
394,5848,2650,9767,3931,0,Radiant,1
395,2800,2165,3186,3653,0,Draw,1
396,5832,2371,9208,3125,0,Radiant,1
397,2816,2418,5022,2932,0,Radiant,0
398,2027,2644,2670,3477,0,Dire,0
399,5699,2780,7493,3426,0,Radiant,1
400,2252,2649,2699,4012,0,Dire,1
401,5486,2684,8628,2999,0,Radiant,0
402,1833,3989,2005,6676,0,Dire,0
403,2631,5188,3409,7631,0,Dire,1
404,2243,2663,2771,3029,0,Dire,0
405,3593,521,4013,431,0,Radiant,0
406,3151,4484,4016,8397,0,Dire,1
407,3128,2345,3732,2817,0,Radiant,1
408,2338,2858,3039,3320,0,Dire,0
409,2634,3933,2720,5822,0,Dire,1
410,2520,2827,3306,3764,0,Dire,1
411,2446,2921,2988,3638,0,Dire,0
412,2371,1722,3033,2034,0,Radiant,0
413,2257,5153,3084,9431,0,Dire,0
414,2113,5933,2805,9720,0,Dire,0
415,2257,2278,3242,2570,1,Draw,0
416,3083,2416,3670,3767,1,Draw,1
417,3371,1887,4490,2364,1,Radiant,1
418,3626,3006,6205,3726,0,Radiant,0
419,5865,3040,8776,3359,0,Radiant,1
420,4739,5955,7505,9580,0,Dire,0
421,2672,2147,3015,2856,0,Radiant,1
422,2574,2964,3771,3253,0,Draw,1
423,5831,3089,10339,3204,0,Radiant,1
424,2811,2001,3723,2696,0,Radiant,0
425,4542,5883,7895,8410,0,Dire,0
426,2237,2899,3036,3943,0,Dire,0
427,2574,3390,3566,4016,0,Dire,0
428,2121,2711,2628,3716,0,Dire,0
429,2577,2980,2945,3427,0,Dire,1
430,2704,2368,1094,2844,0,Draw,1
431,2181,2199,3231,2569,0,Draw,0
432,2171,5521,2824,8123,0,Dire,0
433,3015,2519,3412,3695,0,Draw,1
434,2780,5611,3931,9203,0,Dire,0
435,1987,2863,2555,4326,1,Dire,0
436,4978,2062,9463,2697,0,Radiant,0
437,2360,2687,3437,3230,0,Draw,1
438,2290,2800,3422,3792,0,Dire,0
439,2100,2722,2429,3837,1,Dire,0
440,2661,1611,3151,1925,0,Radiant,0
441,2719,5863,3722,9251,0,Dire,1
442,2903,2301,3862,3586,0,Radiant,0
443,2452,2424,2910,3082,0,Draw,0
444,3298,3080,3508,3687,0,Draw,0
445,3094,3251,3984,3497,1,Draw,0
446,2348,2348,3261,2360,1,Draw,0
447,2875,3197,3358,3787,0,Dire,1
448,2931,2817,3860,4078,0,Draw,1
449,3505,2472,5079,3543,0,Radiant,1
450,2369,3446,2900,4172,0,Dire,0
451,2831,2233,3666,2910,0,Radiant,0
452,4438,6537,7416,10133,0,Dire,0
453,2164,3199,2604,3522,0,Dire,0
454,2482,2891,3875,3751,0,Draw,0
455,2655,4115,3531,6967,1,Dire,0
456,2597,2163,3151,2766,0,Radiant,1
457,2585,2833,4055,3756,0,Draw,1
458,2941,1339,3566,1512,1,Radiant,1
459,1937,3141,2427,3858,0,Dire,0
460,2139,2535,3221,3232,1,Dire,0
461,4134,2876,7748,3937,0,Radiant,0
462,2558,2594,2585,2973,0,Dire,1
463,2676,2825,2880,4177,0,Dire,1
464,2799,2981,3593,3643,0,Dire,1
465,4655,1781,7613,2477,1,Radiant,0
466,3938,2947,7278,3629,0,Radiant,0
467,2870,1647,3815,2064,1,Radiant,0
468,4891,2327,8635,3658,1,Radiant,0
469,4265,2457,9435,3043,0,Radiant,0
470,2414,1957,3453,2616,0,Radiant,0
471,5833,4596,6790,8117,0,Draw,1
472,2840,2655,3735,3345,0,Radiant,1
473,2446,6393,2998,9287,0,Dire,1
474,2184,3446,2260,4211,0,Dire,0
475,1589,2695,2146,3818,1,Dire,0
476,2576,6492,2678,8454,0,Dire,0
477,2846,5846,3505,8550,0,Dire,1
478,5243,2555,8831,3155,0,Radiant,1
479,2711,2220,3241,2730,0,Radiant,1
480,2470,1836,3177,2279,0,Radiant,0
481,2509,2582,3322,3744,0,Dire,1
482,2630,6530,3701,9968,0,Dire,1
483,5774,2873,9698,4305,0,Radiant,1
484,2143,2512,2370,2983,0,Dire,0
485,3116,2576,4272,2614,1,Radiant,0
486,2710,2467,3716,2431,1,Radiant,0
487,2168,2360,2567,3024,1,Dire,0
488,2784,3168,3836,3594,0,Draw,1
489,2820,2771,4439,3098,0,Radiant,0
490,3048,2459,4061,3439,0,Radiant,0
491,2559,2761,3648,4111,0,Dire,1
492,2618,1635,3537,2016,0,Radiant,0
493,5918,3062,9002,3835,0,Radiant,0
494,2915,2650,3852,3436,0,Radiant,1
495,2361,2906,3601,3771,1,Dire,1
496,2917,3080,3765,3392,0,Draw,1
497,6098,2575,9152,3164,0,Radiant,1
498,2726,2071,3727,2630,0,Radiant,1
499,2663,2745,3815,3966,0,Dire,1
500,2090,1873,2864,2620,0,Radiant,0
501,3059,3212,4091,3902,0,Draw,1
502,3087,5246,3840,10620,0,Dire,0
503,2231,3252,2439,3840,0,Dire,1
504,2719,2148,2348,2617,0,Draw,1
505,5592,4880,8608,5806,0,Radiant,1
506,2419,2524,3108,2000,1,Draw,1
507,2209,3013,2728,3702,0,Dire,0
508,3207,1628,3884,1194,1,Radiant,1
509,2771,5763,3444,8511,0,Dire,1
510,2230,2803,3019,3618,0,Dire,0
511,2017,2967,2586,3650,0,Dire,0
512,2747,2383,3743,3105,0,Radiant,0
513,2164,3081,2771,3851,0,Dire,0
514,2722,2859,3875,3602,0,Draw,1
515,2761,1647,2681,2147,0,Radiant,1
516,2394,2047,3991,2793,0,Radiant,0
517,3008,2392,4128,3573,0,Radiant,1
518,2641,2711,3156,3910,0,Dire,1
519,1962,1774,2528,2470,0,Radiant,0
520,2355,2833,3364,3921,0,Dire,0
521,2198,2612,3161,3931,0,Dire,0
522,4726,2298,8429,3173,0,Radiant,0
523,2933,2929,3852,4386,0,Draw,1
524,2620,5488,3475,7983,0,Dire,0
525,2648,2822,3241,2997,0,Draw,1
526,2774,5979,3686,9423,0,Dire,1
527,3752,5692,3535,8446,0,Dire,0
528,4892,2515,8200,3164,0,Radiant,0
529,2011,3013,2104,4077,1,Dire,0
530,2886,2591,4044,2851,0,Radiant,1
531,3365,2531,3809,3928,0,Draw,0
532,2692,2685,3563,3748,0,Draw,0
533,2725,2498,4065,3720,0,Radiant,1
534,912,2502,669,3130,0,Dire,0
535,2934,5603,4074,8973,1,Dire,0
536,2496,4162,3588,7507,1,Dire,0
537,2117,5496,1993,6802,0,Dire,0
538,2711,2911,3611,3922,0,Dire,0
539,5821,2782,9028,3937,0,Radiant,1
540,2484,3269,3157,4692,1,Dire,0
541,2656,2377,4123,2552,1,Radiant,0
542,2854,2887,3899,3291,0,Draw,1
543,4553,2642,7238,3468,0,Radiant,0
544,1992,2878,2100,3782,0,Dire,0
545,2269,3797,2537,6406,0,Dire,0
546,2231,2959,3110,4826,0,Dire,0
547,2076,5721,2446,12409,0,Dire,0
548,2803,2845,3218,3574,0,Dire,1
549,2967,2817,3670,3426,0,Radiant,0
550,2151,3092,2616,4041,0,Dire,0
551,2914,2776,3932,3297,0,Radiant,1
552,3082,2773,4161,3751,0,Radiant,1
553,3195,1479,3829,1700,0,Radiant,1
554,2765,3082,3960,3667,0,Draw,0
555,5494,3076,8620,3203,0,Radiant,1
556,3216,5828,4268,8479,0,Dire,1
557,3076,2292,4103,2099,1,Radiant,1
558,5973,2865,7364,3825,0,Radiant,1
559,2851,2604,3376,3609,0,Draw,1
560,2674,2628,3731,3744,0,Draw,0
561,3612,2473,3655,2035,1,Radiant,1
562,2531,3228,3301,4079,0,Dire,1
563,2183,4449,2047,6904,1,Dire,1
564,3363,2278,3504,2640,1,Radiant,1
565,6596,5021,10936,8046,1,Radiant,1
566,2160,2665,2960,3037,0,Dire,0
567,6712,2880,9848,3518,0,Radiant,1
568,2222,2708,3483,3678,0,Dire,0
569,2958,2012,3862,2710,0,Radiant,1
570,2654,3384,3348,4008,0,Dire,1
571,2496,2935,2777,3183,0,Dire,1
572,2672,2661,3829,4255,0,Draw,1
573,5543,2349,7527,3043,0,Radiant,1
574,5845,2460,10286,3650,0,Radiant,1
575,2765,3005,3594,3657,0,Dire,1
576,6465,3728,9175,5215,0,Radiant,1
577,2938,2667,3380,3763,0,Draw,0
578,2248,2485,2883,3574,0,Dire,0
579,2814,2584,3964,3683,1,Radiant,1
580,1958,4341,2407,7879,1,Dire,0
581,5641,5350,7457,10630,0,Draw,1
582,3141,2612,3373,3624,1,Draw,1
583,6380,1979,8718,2451,0,Radiant,1
584,2816,2747,4232,3865,0,Radiant,1
585,2688,1688,3847,2125,0,Radiant,0
586,1465,2789,1435,3896,1,Dire,1
587,2533,2756,2946,3386,0,Dire,1
588,2626,2666,3316,3126,0,Draw,0
589,2619,2842,2388,4031,0,Dire,0
590,2468,2342,2769,3526,0,Draw,0
591,2595,4809,3195,7017,0,Dire,1
592,2585,2435,1924,3263,0,Draw,1
593,2665,3183,3771,4163,0,Dire,0
594,3062,2595,3716,2914,0,Radiant,0
595,2578,3542,3596,6532,0,Dire,0
596,2458,4392,2605,9462,0,Dire,1
597,2724,3063,3545,4594,0,Dire,1
598,2428,2820,2886,2947,0,Dire,0
599,5171,2937,10283,2738,0,Radiant,0
600,2241,2710,3043,2776,1,Draw,0
601,2226,3044,3472,4235,0,Dire,0
602,3056,2488,2993,3170,0,Draw,1
603,5696,3279,7679,4097,0,Radiant,0
604,3182,2309,4503,3032,0,Radiant,1
605,3138,2321,4223,3084,0,Radiant,1
606,2866,2225,4087,2626,0,Radiant,1
607,2097,5092,2959,9398,0,Dire,0
608,5860,2622,8253,3339,0,Radiant,1
609,3084,2573,1577,3790,0,Draw,1
610,3438,6114,4291,8713,0,Dire,1
611,2931,1572,3768,2022,1,Radiant,1
612,2840,2304,4045,2955,0,Radiant,0
613,2125,2653,2919,3568,0,Dire,0
614,5077,4255,7437,8933,0,Draw,0
615,2315,2287,3404,2706,0,Radiant,0
616,3500,2653,4798,4129,0,Radiant,0
617,1795,5111,2126,8687,0,Dire,0
618,2809,2942,2900,4244,0,Dire,1
619,2658,2028,3928,2779,0,Radiant,0
620,2097,2877,3024,3663,0,Dire,0
621,1944,2389,2248,2930,0,Dire,0
622,2583,768,3698,408,0,Radiant,1
623,3312,2167,3785,3158,0,Radiant,0
624,2910,599,3905,460,0,Radiant,0
625,5364,2470,7554,2837,0,Radiant,1
626,2382,2534,2788,2689,0,Draw,1
627,3084,2483,3441,3106,0,Radiant,0
628,3045,5538,3457,9142,0,Dire,1
629,1788,2461,2684,3641,0,Dire,0
630,2892,2881,3831,3670,0,Radiant,1
631,2471,2367,3373,2689,1,Radiant,0
632,2504,3005,3325,3917,0,Dire,1
633,431,3060,936,3639,0,Dire,1
634,2287,2364,2588,3417,0,Dire,1
635,3051,2832,3725,3499,0,Radiant,1
636,4778,2746,6587,3755,0,Radiant,0
637,2473,2799,3015,3677,0,Dire,1
638,5428,2424,8661,3202,0,Radiant,0
639,5809,3790,11775,5479,0,Radiant,1
640,6652,3036,13922,3844,0,Radiant,1
641,3066,2549,3144,3425,0,Draw,1
642,3689,2595,4711,3491,0,Radiant,0
643,4989,2665,4812,2876,0,Radiant,0
644,2983,2562,3774,3430,0,Radiant,0
645,3261,2134,4390,2404,1,Radiant,0
646,1849,2273,2334,3367,0,Dire,0
647,2395,2042,3089,3054,0,Radiant,0
648,2162,4030,2681,3901,0,Dire,0
649,2391,2397,2446,3099,0,Dire,1
650,2885,2469,4349,3379,0,Radiant,1
651,3024,3405,3914,3835,0,Draw,1
652,558,2747,880,3445,0,Dire,1
653,2615,2069,3533,2585,1,Radiant,1
654,5391,2804,8243,3541,0,Radiant,0
655,2169,2123,2953,3061,0,Draw,0
656,1868,3165,2454,3798,1,Dire,0
657,3010,2755,4119,3942,0,Radiant,1
658,2501,601,3709,499,0,Radiant,0
659,2598,2875,3366,4168,0,Dire,1
660,2571,2578,3268,3188,1,Draw,1
661,2906,5132,4051,9503,0,Dire,1
662,2291,2782,2787,2897,0,Dire,1
663,3475,2774,3925,3713,0,Radiant,1
664,2743,5082,3699,9073,0,Dire,1
665,2812,4599,3740,7328,0,Dire,0
666,5368,2648,9339,3746,0,Radiant,1
667,2824,2568,4068,3260,1,Radiant,1
668,5702,2703,7880,3795,0,Radiant,1
669,2878,2314,3893,3094,0,Radiant,0
670,2615,2742,3504,3247,0,Draw,0
671,6560,5985,9339,8815,0,Radiant,0
672,751,3319,399,3130,1,Dire,0
673,2744,1833,4140,2533,0,Radiant,0
674,1647,2139,2276,2453,1,Dire,0
675,2742,2259,1111,2847,0,Draw,1
676,2932,2329,3675,2611,0,Radiant,0
677,5393,3102,9065,3684,0,Radiant,0
678,2941,2972,3142,3794,0,Dire,1
679,3074,4665,3856,8825,0,Dire,1
680,2503,5244,3143,9433,0,Dire,1
681,2899,4349,3769,10281,0,Dire,1
682,5624,2233,8531,2755,1,Radiant,1
683,2385,2631,3076,3815,0,Dire,0
684,2611,2011,2826,2610,0,Radiant,1
685,3393,3144,3973,4388,0,Draw,1
686,2872,2746,3865,4074,0,Draw,1
687,2107,3271,2613,3883,0,Dire,0
688,2443,2479,3064,3694,0,Dire,1
689,2828,2855,2936,3574,1,Dire,1
690,2978,2982,4035,3725,0,Draw,0
691,2469,2690,3479,3797,0,Dire,1
692,2723,2854,3624,3650,0,Dire,0
693,2507,798,3408,386,0,Radiant,1
694,6266,2780,9670,3944,0,Radiant,1
695,5811,2354,9881,2305,1,Radiant,1
696,3131,2937,3530,3607,0,Draw,1
697,2610,3844,3526,5818,0,Dire,1
698,1824,2925,2275,3396,0,Dire,0
699,2586,2889,3848,2237,1,Draw,1
700,5939,5646,7559,9676,0,Draw,0
701,2458,6797,3244,9889,1,Dire,1
702,4075,4509,6826,10155,0,Dire,0
703,3151,3286,3741,3049,0,Draw,1
704,5429,2662,9806,3469,0,Radiant,1
705,2622,2227,3376,3562,0,Draw,1
706,2649,3547,3616,4451,0,Dire,1
707,2124,2665,2376,2668,0,Dire,1
708,2476,2411,3174,3326,0,Draw,0
709,2596,2044,3525,2389,1,Radiant,1
710,2937,2001,4158,2497,1,Radiant,1
711,3357,3232,3509,3905,0,Draw,1
712,2134,2562,3029,3092,1,Dire,0
713,2702,2342,3259,2727,1,Radiant,1
714,2675,5931,3660,9822,0,Dire,0
715,5741,2618,9373,3275,0,Radiant,1
716,2937,2454,3806,3582,0,Radiant,1
717,2957,2670,4066,3610,0,Radiant,1
718,2589,1840,2940,2300,0,Radiant,0
719,2203,2813,2742,3410,0,Dire,0
720,2791,2496,3746,3550,0,Radiant,1
721,2905,2693,4326,3746,0,Radiant,1
722,1829,2082,2380,3194,0,Dire,0
723,2199,5030,2586,7760,0,Dire,0
724,4490,1975,8008,2354,0,Radiant,1
725,2296,5976,2587,9418,0,Dire,0
726,3000,2158,3873,2693,0,Radiant,1
727,2929,2450,3789,3737,0,Radiant,1
728,2423,2892,3624,3803,0,Dire,0
729,2151,2488,3190,3488,0,Dire,0
730,2881,5533,4121,8559,0,Dire,1
731,2705,2933,3644,3495,0,Draw,1
732,1930,5207,2206,11694,1,Dire,0
733,3053,3208,3641,3346,0,Draw,1
734,2372,2902,3172,3011,1,Draw,0
735,2275,6702,2833,10938,1,Dire,0
736,2988,2848,3835,3086,0,Radiant,0
737,2669,3264,3502,3804,0,Dire,0
738,2349,6468,3228,9171,0,Dire,0
739,2958,2285,3820,3024,0,Radiant,0
740,2601,5556,3397,8651,0,Dire,0
741,2447,2050,1487,2683,1,Draw,0
742,2682,3412,3551,3811,0,Dire,0
743,2974,4401,4322,6607,0,Dire,0
744,2910,2726,4210,4114,0,Radiant,1
745,3012,642,4194,379,0,Radiant,1
746,2802,3027,3794,3674,0,Draw,1
747,6292,1866,9119,2731,0,Radiant,1
748,4790,2739,7499,4025,0,Radiant,0
749,2661,2853,3494,3611,0,Dire,1
750,2999,3072,4099,3752,0,Draw,1
